C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
1.0175271,0.223258,2.4984007e-14,0.223258,0.70990342,2.5169979e-14,2.4454406e-14,2.4918795e-14,0.29279192,0.9568
1.0923962,0.32652264,2.5357816e-14,0.32652264,1.0875305,2.5691492e-14,2.4875887e-14,2.671654e-14,0.3810857,0.9952
3.4275036e-09,1.0282452e-09,6.2067251e-15,1.0282454e-09,0.2140934,5.5851767e-15,5.5036303e-15,5.3736645e-15,1.1996291e-09,0.2
3.4275068e-09,1.0282455e-09,5.475947e-15,1.028246e-09,0.21409443,5.0028161e-15,6.1994369e-15,5.3134014e-15,1.199629e-09,0.2
3.427616e-09,1.028278e-09,5.1581288e-15,1.0282784e-09,0.214193,5.3639025e-15,6.1657175e-15,5.2430225e-15,1.1996672e-09,0.2
3.4700824e-09,1.0398477e-09,5.4539065e-15,1.0398471e-09,0.22073016,5.5935153e-15,5.5801899e-15,4.9695388e-15,1.2154528e-09,0.2176
3.8069498e-09,1.1312166e-09,8.1135835e-15,1.1312161e-09,0.26489442,7.1661611e-15,6.55251e-15,6.7491258e-15,1.3352545e-09,0.2656
4.3646084e-09,1.2952781e-09,8.7749715e-15,1.2952789e-09,0.33768318,9.0618368e-15,8.4745946e-15,8.0872216e-15,1.5311544e-09,0.3392
5.1230601e-09,1.5200947e-09,1.1036402e-14,1.520095e-09,0.41139223,1.2668496e-14,1.1918375e-14,1.0823768e-14,1.7984011e-09,0.4144
6.1845371e-09,1.8343817e-09,1.3312702e-14,1.8343816e-09,0.48477383,1.2492619e-14,1.2422171e-14,1.3646016e-14,2.1731766e-09,0.488
7.7939938e-09,2.3098844e-09,1.4621922e-14,2.3098847e-09,0.55801136,1.3593293e-14,1.4862326e-14,1.4571615e-14,2.7406587e-09,0.5616
1.0546075e-08,3.1210977e-09,1.6030732e-14,3.1210974e-09,0.63138568,1.7154725e-14,1.7455004e-14,1.5289824e-14,3.7092348e-09,0.632
1.637906e-08,4.8418676e-09,1.8341089e-14,4.8418683e-09,0.70502969,1.6882836e-14,1.9596643e-14,1.8391122e-14,5.7600061e-09,0.7056
